valid_points	duration	head_id	source	srt	heuristic_saccade_validity	invalid_points	trial_configuration_id	stim_location	tracker_successfully_calibrated	trial_number	mse
1776	46674	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	329905	True	30	SRT1	3	False	2	0.0019397435404466144
1446	33365	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	376596	True	360	SRT1	5	False	3	0.0008972615149702409
1578	53295	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	546576	True	228	SRT1	5	False	4	0.000838890719168869
1791	43344	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	289915	True	15	SRT1	5	False	5	0.0021242429031618206
1446	36636	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	523246	True	360	SRT1	6	False	6	0.00030171421582151394
1734	36609	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	490020	True	72	SRT1	4	False	7	0.0020214515410778987
1743	46688	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	473223	True	63	SRT1	6	False	8	0.0009368661489524427
1734	53301	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	339970	True	72	SRT1	3	False	9	0.0009513791268946051
1767	290028	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	189930	False	39	SRT1	4	False	10	0.005188586135332959
1674	46699	0187	cg12_8_childcogn_8mNoCalib_SRT1.gazedata	476582	True	132	SRT1	6	False	11	0.0010109094076850842
1797	50029	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	303264	True	9	SRT2	3	False	0	0.0012285456188474984
1725	50036	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	333268	True	81	SRT2	5	False	1	0.0010960293136026557
1716	49949	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	249939	True	90	SRT2	3	False	2	0.00110987445277108
1782	46689	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	376591	True	24	SRT2	5	False	3	0.00043041998329661197
1677	46695	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	346632	True	129	SRT2	6	False	4	0.003910239595160164
1536	49936	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	356652	True	270	SRT2	4	False	5	0.0004250922231389648
1773	46695	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	359900	True	33	SRT2	5	False	6	0.0010802315000292082
1806	66645	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	316657	True	0	SRT2	4	False	7	0.00641344138166282
1752	46615	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	276666	True	54	SRT2	6	False	8	0.002346036283242521
1794	30011	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	259904	True	12	SRT2	6	False	9	0.005248080690206144
1584	39966	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	353315	True	222	SRT2	4	False	10	0.001012013671312755
1593	53317	0187	cg12_8_childcogn_8mNoCalib_SRT2.gazedata	313310	True	213	SRT2	3	False	11	0.0013021747732470642
1806	39979	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	453287	True	0	SRT3	6	False	0	0.0009984394135687641
1746	363254	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	166627	False	60	SRT3	3	False	1	0.005365875017990922
1752	33310	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	273345	True	54	SRT3	4	False	2	0.00037531148512961944
1722	69986	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	226649	True	84	SRT3	4	False	3	0.001682349480871415
1806	43337	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	293281	True	0	SRT3	5	False	4	0.0008320565335007528
1758	26652	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	280052	True	48	SRT3	6	False	5	0.002267877466185465
1749	46661	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	216594	True	57	SRT3	6	False	6	0.004489622736245219
1752	396620	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	130005	False	54	SRT3	5	False	7	0.0026365861476362502
1641	56660	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	360014	True	165	SRT3	3	False	8	0.001233145206558173
1560	53328	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	303321	True	246	SRT3	4	False	9	0.003810944919294458
1770	53311	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	239964	True	36	SRT3	5	False	10	0.0012423909848248795
1692	63286	0187	cg12_8_childcogn_8mNoCalib_SRT3.gazedata	233354	True	114	SRT3	3	False	11	0.001069622022764145
1794	53391	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	346589	True	12	SRT4	4	False	0	0.0011954497654042035
